timestamp,actor,action,target,result,details
"2026-04-12T03:41:34.198430Z","U1127","APPLY","J2003","SUCCESS","score=59"
"2026-04-12T03:41:48.838846Z","U1127","WITHDRAW_APPLICATION","A4961","SUCCESS","J2003"
"2026-04-12T03:41:50.567067Z","U1127","APPLY","J2003","SUCCESS","score=59"
"2026-05-22T11:30:19.614532340Z","U1001","APPLY","J2149","SUCCESS","score=85"
"2026-05-22T11:30:30.356814276Z","U1001","APPLY","J2113","SUCCESS","score=82"
"2026-05-22T11:30:42.190189610Z","U1001","APPLY","J2105","SUCCESS","score=81"
"2026-05-22T11:30:49.366632889Z","U1001","APPLY","J2137","SUCCESS","score=82"
"2026-05-22T11:30:57.124136229Z","U1001","APPLY","J2125","SUCCESS","score=82"
"2026-05-22T11:31:08.026616385Z","U1001","APPLY","J2117","SUCCESS","score=81"
